season,label,IEseason,DEseason,weedSeed,weedComp,NReq,Nlost,wheat,barley,canola,vpasture,ipasture,npasture,nugpasture,lupin
1,1991,0.911,1,1,1,0.828,0,0.828017185,0.827678273,0.826952527,0.883965281,1.007622677,1.003344482,1.003344482,0.826952527
2,1992,1.036,1,1,1,1.755,0,1.753677907,1.755478919,1.753445636,1.545226131,1.520366841,1.48909062,1.48909062,1.753445636
3,1993,2.194,1,1,1,1.32,0,1.320140607,1.318277895,1.316998469,0.753768844,1.011195808,0.99697404,0.99697404,1.316998469
4,1994,1.65,1,1,1,0.63,0,0.628824372,0.630770942,0.627871363,1.774783006,1.818723202,1.756649148,1.756649148,0.627871363
5,1995,0.787,1,1,1,0.771,0,0.769431064,0.770942263,0.773353752,1.048423938,1.13982849,1.113234591,1.113234591,0.773353752
6,1996,0.964,1,1,1,1.533,0,1.534956386,1.531872288,1.531393568,0.548195523,0.666388757,0.66252588,0.66252588,1.531393568
7,1997,1.917,1,1,1,1.322,0,1.320140607,1.321615308,1.324655436,1.058702604,1.14697475,1.140308966,1.140308966,1.324655436
8,1998,1.653,1,1,1,1.32,0,1.320140607,1.318277895,1.316998469,1.370488808,1.543592187,1.477942348,1.477942348,1.316998469
9,1999,1.65,1,1,1,1.213,0,1.210779846,1.211480699,1.209800919,1.082686158,1.1291091,1.118012422,1.118012422,1.209800919
10,2000,1.516,1,1,1,0.764,0,0.761619581,0.764267438,0.765696784,1.038145272,1.104097189,1.060678452,1.060678452,0.765696784
11,2001,0.954,1,1,1,0.594,0,0.593672699,0.594059406,0.597243492,1.925536775,1.759766556,1.6563147,1.6563147,0.597243492
12,2002,0.743,1,1,1,0.643,0,0.644447338,0.640783179,0.643185299,1.428734582,1.211291091,1.321866539,1.321866539,0.643185299
13,2003,0.803,1,1,1,1.383,0,1.38263247,1.381688731,1.385911179,0.945637277,0.893282515,0.891861761,0.891861761,1.385911179
14,2004,1.728,1,1,1,1.382,0,1.38263247,1.381688731,1.378254211,0.44198264,0.482372558,0.484153528,0.484153528,1.378254211
15,2005,1.727,1,1,1,0.916,0,0.913943497,0.914450996,0.918836141,1.03471905,1.071939019,1.04793757,1.04793757,0.918836141
16,2006,1.145,1,1,1,0.973,0,0.972529619,0.971187006,0.972434916,0.572179077,0.623511196,0.627488454,0.627488454,0.972434916
17,2007,1.216,1,1,1,0.984,0,0.984246843,0.984536656,0.980091884,0.7469164,0.795021439,0.799490365,0.799490365,0.980091884
18,2008,1.23,1,1,1,0.77,0,0.769431064,0.770942263,0.773353752,0.839424395,0.728918533,0.713489409,0.713489409,0.773353752
19,2009,0.963,1,1,1,0.692,0,0.691316235,0.690844365,0.689127106,0.483097305,0.505597904,0.523968785,0.523968785,0.689127106
20,2010,0.865,1,1,1,0.169,0,0.167946882,0.170208032,0.168453292,0.928506167,0.921867556,0.926899188,0.926899188,0.168453292
21,2011,0.211,1,1,1,1.262,0,1.261554485,1.261541885,1.263399694,0.72978529,0.746784183,0.742156394,0.742156394,1.263399694
22,2012,1.577,1,1,1,0.438,0,0.437443041,0.437201023,0.436447167,0.236409319,0.259051929,0.258002867,0.258002867,0.436447167
23,2013,0.547,1,1,1,1.817,0,1.81616977,1.815552342,1.814701378,0.630424852,0.650309671,0.692785475,0.692785475,1.814701378
24,2014,2.271,1,1,1,0.984,0,0.984246843,0.984536656,0.980091884,0.524211969,0.514530729,0.493709189,0.493709189,0.980091884
25,2015,1.23,1,1,1,0.857,0,0.855357375,0.857714985,0.857580398,1.428734582,1.250595522,1.237458194,1.237458194,0.857580398
26,2016,1.072,1,1,1,1.119,0,1.120947793,1.118033152,1.117917305,0.993604386,1.045140543,1.028826246,1.028826246,1.117917305
27,2017,1.399,1,1,1,1.13,0,1.128759276,1.131382801,1.13323124,0.842850617,0.84861839,0.858416945,0.858416945,1.13323124
28,2018,1.413,1,1,1,1.057,0,1.05845593,1.057959729,1.056661562,1.240292371,1.17555979,1.10527154,1.10527154,1.056661562
29,2019,1.2684,1,1,1,0.656164562,0,0.656164562,0.657470241,0.658499234,1.541799909,1.356002859,1.463608855,1.463608855,0.658499234
30,2020,0.787397474,1,1,1,0.730373649,0,0.730373649,0.727555902,0.727411945,1.380767474,1.071939019,1.307533047,1.307533047,0.727411945
